Station - Device Operation	date time	Device	Device Code	Action	Comment (Station)	Comment (Device Operation)	Comment (Action)	Expedition Status	Latitude	Longitude	Depth (m)	Speed (kn)	Course	Wind Dir	Wind Velocity	Winch	Rope Length (m)
M161_174-1	2020/02/11 04:31:50	CTD	CTD	in the water			W2, clean ship	started	14° 10.919' N	057° 14.725' W	5169	0	235.2	64.0	13.2	02	2
M161_174-1	2020/02/11 04:49:45	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.919' N	057° 14.725' W	5181	1	175.7	66.0	12.7	02	800
M161_174-1	2020/02/11 05:10:52	CTD	CTD	on deck				started	14° 10.922' N	057° 14.726' W	5176	1	175.1	72.0	11.6	02	0
M161_175-1	2020/02/11 06:27:33	CTD	CTD	in the water			W2, clean ship	started	14° 10.923' N	057° 14.726' W	5171	0	241.4	67.0	12.6	02	0
M161_175-1	2020/02/11 06:45:28	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.923' N	057° 14.725' W	5172	1	2.0	76.0	12.3	02	800
M161_175-1	2020/02/11 07:06:13	CTD	CTD	on deck				started	14° 10.921' N	057° 14.726' W	5171	1	273.9	68.0	12.3	02	0
M161_176-1	2020/02/11 08:30:00	CTD	CTD	in the water			W2, clean ship	started	14° 10.922' N	057° 14.725' W	5172	1	191.3	74.0	11.6	02	0
M161_176-1	2020/02/11 08:50:04	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.921' N	057° 14.725' W	5171	1	136.9	76.0	12.1	02	799
M161_176-1	2020/02/11 09:08:25	CTD	CTD	on deck				started	14° 10.921' N	057° 14.724' W	5171	1	212.4	82.0	11.4	02	0
M161_177-1	2020/02/11 10:25:12	CTD	CTD	information			W2, clean ship	started	14° 10.923' N	057° 14.704' W	5172	1	175.7	77.0	12.3	02	0
M161_177-1	2020/02/11 10:43:13	CTD	CTD	max depth/on ground			SLmax = 800m	started	14° 10.923' N	057° 14.703' W	5173	1	102.4	74.0	11.2	02	800
M161_177-1	2020/02/11 11:02:25	CTD	CTD	on deck				started	14° 10.925' N	057° 14.702' W	5173	1	307.9	75.0	12.1	02	0
M161_178-1	2020/02/11 13:35:27	CTD	CTD	in the water			W2, clean ship	started	14° 10.919' N	057° 14.719' W	5173	1	185.5	68.0	11.1	02	0
